período,populacao,nome
2002,1846039,SE
2002,38177742,SP
2002,1207014,TO
2003,600595,AC
2003,2917664,AL
2003,3031068,AM
2003,534835,AP
2003,13435612,BA
2003,7758441,CE
2003,2189789,DF
2003,3250219,ES
2003,5306459,GO
2003,5873655,MA
2003,18553312,MG
2003,2169688,MS
2003,2651335,MT
2003,6574993,PA
2003,3518595,PB
2003,8161862,PE
2003,2923725,PI
2003,9906866,PR
2003,14879118,RJ
2003,2888058,RN
2003,1455907,RO
2003,357302,RR
2003,10510992,RS
2003,5607233,SC
2003,1874613,SE
2003,38709320,SP
2003,1230181,TO
2004,630328,AC
2004,2980910,AL
2004,3138726,AM
2004,547400,AP
2004,13682074,BA
2004,7976563,CE
2004,2282049,DF
2004,3352024,ES
2004,5508245,GO
2004,6021504,MA
2004,18993720,MG
2004,2230702,MS
2004,2749145,MT
2004,6850181,PA
2004,3568350,PB
2004,8323911,PE
2004,2977259,PI
2004,10135388,PR
2004,15203750,RJ
2004,2962107,RN
2004,1562085,RO
2004,381896,RR
2004,10726063,RS
2004,5774178,SC
2004,1934596,SE
2004,39825226,SP
2004,1262644,TO
2005,669736,AC
2005,3015912,AL
2005,3232330,AM
2005,594587,AP
2005,13815334,BA
2005,8097276,CE
2005,2333108,DF
2005,3408365,ES
2005,5619917,GO
2005,6103327,MA
2005,19237450,MG
2005,2264468,MS
2005,2803274,MT
2005,6970586,PA
2005,3595886,PB
2005,8413593,PE
2005,3006885,PI
2005,10261856,PR
2005,15383407,RJ
2005,3003087,RN
2005,1534594,RO
2005,391317,RR
2005,10845087,RS
2005,5866568,SC
2005,1967791,SE
2005,40442795,SP
2005,1305728,TO
2006,686652,AC
2006,3050652,AL
2006,3311026,AM
2006,615715,AP
2006,13950146,BA
2006,8217085,CE
2006,2383784,DF
2006,3464285,ES
2006,5730753,GO
2006,6184538,MA
2006,19479356,MG
2006,2297981,MS
2006,2856999,MT
2006,7110465,PA
2006,3623215,PB
2006,8502603,PE
2006,3036290,PI
2006,10387378,PR
2006,15561720,RJ
2006,3043760,RN
2006,1562417,RO
2006,403344,RR
2006,10963219,RS
2006,5958266,SC
2006,2000738,SE
2006,41055734,SP
2006,1332441,TO
2007,655385,AC
2007,3037231,AL
2007,3221940,AM
2007,587311,AP
2007,14080670,BA
2007,8185250,CE
2007,2455903,DF
2007,3351669,ES
2007,5647035,GO
2007,6118995,MA
2007,19273533,MG
2007,2265813,MS
2007,2854642,MT
2007,7090378,PA
2007,3641397,PB
2007,8486638,PE
2007,3032435,PI
2007,10284503,PR
2007,15420450,RJ
2007,3013740,RN
2007,1453756,RO
2007,395725,RR
2007,10582887,RS
2007,5866487,SC
2007,1939426,SE
2007,39827690,SP
2007,1243627,TO
2008,680073,AC
2008,3127557,AL
2008,3341096,AM
2008,613164,AP
2008,14502575,BA
2008,8450527,CE
2008,2557158,DF
2008,3453648,ES
2008,5844996,GO
2008,6305539,MA
2008,19850072,MG
2008,2336058,MS
2008,2957732,MT
2008,7321493,PA
2008,3742606,PB
2008,8734194,PE
2008,3119697,PI
2008,10590169,PR
2008,15872362,RJ
2008,3106430,RN
2008,1493566,RO
2008,412783,RR
2008,10855214,RS
2008,6052587,SC
2008,1999374,SE
2008,41011635,SP
2008,1280509,TO
2009,691132,AC
2009,3156108,AL
2009,3393369,AM
2009,626609,AP
2009,14637364,BA
2009,8547809,CE
2009,2606885,DF
2009,3487199,ES
2009,5926300,GO
2009,6367138,MA
2009,20033665,MG
2009,2360498,MS
2009,3001692,MT
2009,7397238,PA
2009,3769977,PB
2009,8810256,PE
2009,3145325,PI
2009,10686247,PR
2009,16010429,RJ
2009,3137541,RN
2009,1503928,RO
2009,421499,RR
2009,10914128,RS
2009,6118743,SC
2009,2019679,SE
2009,41384039,SP
2009,1292051,TO
2010,733559,AC
2010,3120494,AL
2010,3483985,AM
2010,669526,AP
2010,14016906,BA
2010,8452381,CE
2010,2570160,DF
2010,3514952,ES
2010,6003788,GO
2010,6574789,MA
2010,19597330,MG
2010,2449024,MS
2010,3035122,MT
2010,7581051,PA
2010,3766528,PB
2010,8796448,PE
2010,3118360,PI
2010,10444526,PR
2010,15989929,RJ
2010,3168027,RN
2010,1562409,RO
2010,450479,RR
2010,10693929,RS
2010,6248436,SC
2010,2068017,SE
2010,41262199,SP
2010,1383445,TO
2011,746386,AC
2011,3143384,AL
2011,3538387,AM
2011,684309,AP
2011,14097534,BA
2011,8530155,CE
2011,2609998,DF
2011,3547055,ES
2011,6080716,GO
2011,6645761,MA
2011,19728701,MG
2011,2477542,MS
2011,3075936,MT
2011,7688593,PA
2011,3791315,PB
2011,8864906,PE
2011,3140328,PI
2011,10512349,PR
2011,16112678,RJ
2011,3198657,RN
2011,1576455,RO
2011,460165,RR
2011,10733030,RS
2011,6317054,SC
2011,2089819,SE
2011,41587182,SP
2011,1400892,TO
2012,758786,AC
2012,3165472,AL
2012,3590985,AM
2012,698602,AP
2012,14175341,BA
2012,8606005,CE
2012,2648532,DF
2012,3578067,ES
2012,6154996,GO
2012,6714314,MA
2012,19855332,MG
2012,2505088,MS
2012,3115336,MT
2012,7792561,PA
2012,3815171,PB
2012,8931028,PE
2012,3160748,PI
2012,10577755,PR
2012,16231365,RJ
2012,3228198,RN
2012,1590011,RO
2012,469524,RR
2012,10770603,RS
2012,6383286,SC
2012,2110867,SE
2012,41901219,SP
2012,1417694,TO
2013,776463,AC
2013,3300935,AL
2013,3807921,AM
2013,734996,AP
2013,15044137,BA
2013,8778576,CE
2013,2789761,DF
2013,3839366,ES
2013,6434048,GO
2013,6794301,MA
2013,20593356,MG
2013,2587269,MS
2013,3182113,MT
2013,7969654,PA
2013,3914421,PB
2013,9208550,PE
2013,3184166,PI
2013,10997465,PR
2013,16369179,RJ
2013,3373959,RN
2013,1728214,RO
2013,488072,RR
2013,11164043,RS
