cod;nome;período;valor
13;AM;2007;43
33;RJ;2007;216
53;DF;2007;41
17;TO;2007;26
32;ES;2007;116
21;MA;2007;50
11;RO;2007;20
28;SE;2008;21
27;AL;2008;71
14;RR;2008;5
50;MS;2008;22
32;ES;2008;129
13;AM;2008;56
22;PI;2008;31
12;AC;2008;5
51;MT;2008;57
31;MG;2008;221
16;AP;2008;13
11;RO;2008;20
17;TO;2008;17
15;PA;2008;139
23;CE;2008;74
42;SC;2008;8
52;GO;2008;104
24;RN;2008;48
41;PR;2008;55
29;BA;2008;260
25;PB;2008;76
35;SP;2008;199
43;RS;2008;32
26;PE;2008;245
33;RJ;2008;223
53;DF;2008;57
21;MA;2008;67
51;MT;2009;55
53;DF;2009;61
52;GO;2009;117
50;MS;2009;25
27;AL;2009;96
26;PE;2009;252
25;PB;2009;84
24;RN;2009;38
23;CE;2009;80
22;PI;2009;22
21;MA;2009;67
17;TO;2009;23
16;AP;2009;10
15;PA;2009;152
14;RR;2009;12
13;AM;2009;60
43;RS;2009;36
42;SC;2009;8
41;PR;2009;57
35;SP;2009;230
33;RJ;2009;190
32;ES;2009;152
31;MG;2009;246
29;BA;2009;284
28;SE;2009;21
12;AC;2009;6
11;RO;2009;35
17;TO;2010;30
42;SC;2010;15
52;GO;2010;128
13;AM;2010;60
28;SE;2010;36
53;DF;2010;50
41;PR;2010;51
24;RN;2010;51
26;PE;2010;197
11;RO;2010;23
23;CE;2010;111
33;RJ;2010;196
25;PB;2010;98
27;AL;2010;104
50;MS;2010;38
43;RS;2010;38
32;ES;2010;128
22;PI;2010;28
16;AP;2010;14
12;AC;2010;13
15;PA;2010;197
35;SP;2010;223
14;RR;2010;9
31;MG;2010;259
51;MT;2010;54
21;MA;2010;99
29;BA;2010;361
27;AL;2011;114
25;PB;2011;117
41;PR;2011;55
11;RO;2011;31
14;RR;2011;9
17;TO;2011;36
53;DF;2011;61
28;SE;2011;50
13;AM;2011;66
52;GO;2011;182
29;BA;2011;375
21;MA;2011;109
16;AP;2011;16
51;MT;2011;60
31;MG;2011;283
12;AC;2011;11
22;PI;2011;28
50;MS;2011;40
32;ES;2011;104
15;PA;2011;154
43;RS;2011;21
24;RN;2011;56
23;CE;2011;106
33;RJ;2011;223
26;PE;2011;223
42;SC;2011;5
35;SP;2011;179
13;AM;2012;89
22;PI;2012;40
35;SP;2012;257
52;GO;2012;171
50;MS;2012;45
11;RO;2012;36
27;AL;2012;116
24;RN;2012;42
32;ES;2012;137
51;MT;2012;62
15;PA;2012;202
25;PB;2012;119
43;RS;2012;39
28;SE;2012;52
17;TO;2012;40
42;SC;2012;18
31;MG;2012;303
14;RR;2012;7
26;PE;2012;185
29;BA;2012;368
12;AC;2012;14
53;DF;2012;63
21;MA;2012;96
41;PR;2012;68
33;RJ;2012;223
23;CE;2012;110
16;AP;2012;15
51;MT;2013;62
42;SC;2013;16
21;MA;2013;107
29;BA;2013;362
27;AL;2013;117
24;RN;2013;59
12;AC;2013;29
14;RR;2013;14
31;MG;2013;274
23;CE;2013;125
50;MS;2013;40
25;PB;2013;104
43;RS;2013;33
32;ES;2013;129
22;PI;2013;36
11;RO;2013;28
26;PE;2013;224
41;PR;2013;59
35;SP;2013;215
33;RJ;2013;236
16;AP;2013;15
