cod;nome;período;valor
13;AM;2000;552
29;BA;2000;1242
51;MT;2000;990
12;AC;2000;106
42;SC;2000;433
25;PB;2000;507
27;AL;2000;727
22;PI;2000;230
28;SE;2000;410
24;RN;2000;257
53;DF;2000;687
23;CE;2000;1238
11;RO;2000;466
21;MA;2000;352
32;ES;2000;1435
26;PE;2000;4290
42;SC;2001;477
12;AC;2001;121
51;MT;2001;973
27;AL;2001;830
32;ES;2001;1452
29;BA;2001;1622
13;AM;2001;485
41;PR;2001;2052
14;RR;2001;108
16;AP;2001;182
23;CE;2001;1284
53;DF;2001;693
11;RO;2001;573
35;SP;2001;15773
50;MS;2001;621
21;MA;2001;563
33;RJ;2001;7362
31;MG;2001;2366
15;PA;2001;966
26;PE;2001;4710
28;SE;2001;518
17;TO;2001;212
52;GO;2001;1167
24;RN;2001;322
43;RS;2001;1854
22;PI;2001;262
25;PB;2001;484
25;PB;2002;607
53;DF;2002;641
52;GO;2002;1370
51;MT;2002;948
50;MS;2002;684
43;RS;2002;1912
32;ES;2002;1644
31;MG;2002;2994
29;BA;2002;1759
28;SE;2002;556
27;AL;2002;991
26;PE;2002;4396
23;CE;2002;1445
22;PI;2002;308
21;MA;2002;606
42;SC;2002;585
41;PR;2002;2266
35;SP;2002;14526
33;RJ;2002;8335
17;TO;2002;170
16;AP;2002;181
15;PA;2002;1192
14;RR;2002;122
13;AM;2002;513
12;AC;2002;151
24;RN;2002;299
11;RO;2002;615
42;SC;2003;670
31;MG;2003;3869
12;AC;2003;147
50;MS;2003;705
22;PI;2003;298
43;RS;2003;1908
15;PA;2003;1405
23;CE;2003;1563
11;RO;2003;566
16;AP;2003;185
24;RN;2003;405
35;SP;2003;14048
32;ES;2003;1629
27;AL;2003;1039
51;MT;2003;908
13;AM;2003;558
17;TO;2003;204
41;PR;2003;2555
26;PE;2003;4517
28;SE;2003;469
52;GO;2003;1346
21;MA;2003;795
33;RJ;2003;8115
29;BA;2003;2166
25;PB;2003;616
