cod;nome;período;ValorMulheres;ValorMulheresNegras;ValorMulheresNaoNegras
16;AP;2003;15;12.0;2.0
16;AP;2004;15;14.0;1.0
16;AP;2005;15;13.0;2.0
16;AP;2006;13;10.0;3.0
16;AP;2007;12;8.0;4.0
16;AP;2008;13;13.0;0.0
16;AP;2009;12;10.0;2.0
16;AP;2010;16;14.0;2.0
16;AP;2011;19;16.0;3.0
16;AP;2012;17;15.0;2.0
16;AP;2013;19;15.0;2.0
16;AP;2014;20;19.0;1.0
16;AP;2015;18;13.0;3.0
16;AP;2016;17;15.0;2.0
16;AP;2017;27;23.0;2.0
16;AP;2018;15;12.0;2.0
16;AP;2019;19;17.0;1.0
16;AP;2020;22;21.0;1.0
16;AP;2021;19;18.0;0.0
16;AP;2022;16;16.0;0.0
16;AP;2023;15;15.0;
17;TO;1989;14;;
17;TO;1990;7;;
17;TO;1991;9;;
17;TO;1992;5;;
17;TO;1993;12;;
17;TO;1994;13;;
17;TO;1995;5;;
17;TO;1996;21;0.0;0.0
17;TO;1997;19;4.0;3.0
17;TO;1998;19;12.0;4.0
17;TO;1999;16;9.0;3.0
17;TO;2000;16;10.0;5.0
17;TO;2001;23;14.0;9.0
17;TO;2002;20;16.0;4.0
17;TO;2003;22;17.0;5.0
17;TO;2004;18;14.0;4.0
17;TO;2005;21;15.0;6.0
17;TO;2006;22;18.0;4.0
17;TO;2007;28;26.0;2.0
17;TO;2008;21;17.0;4.0
17;TO;2009;31;23.0;8.0
17;TO;2010;34;30.0;3.0
17;TO;2011;49;36.0;11.0
17;TO;2012;49;40.0;9.0
17;TO;2013;40;31.0;7.0
17;TO;2014;35;29.0;6.0
17;TO;2015;48;39.0;8.0
17;TO;2016;45;30.0;10.0
17;TO;2017;38;30.0;7.0
17;TO;2018;47;36.0;9.0
17;TO;2019;36;32.0;3.0
17;TO;2020;35;29.0;6.0
17;TO;2021;39;22.0;13.0
17;TO;2022;30;25.0;4.0
17;TO;2023;30;23.0;6.0
21;MA;1989;28;;
21;MA;1990;32;;
21;MA;1991;54;;
21;MA;1992;30;;
21;MA;1993;33;;
21;MA;1994;24;;
21;MA;1995;40;;
21;MA;1996;31;0.0;0.0
21;MA;1997;46;18.0;8.0
21;MA;1998;30;18.0;5.0
21;MA;1999;27;14.0;3.0
21;MA;2000;32;24.0;4.0
21;MA;2001;54;36.0;16.0
21;MA;2002;39;31.0;7.0
21;MA;2003;69;58.0;11.0
21;MA;2004;53;44.0;9.0
21;MA;2005;58;49.0;8.0
21;MA;2006;67;58.0;8.0
21;MA;2007;63;50.0;13.0
21;MA;2008;81;67.0;12.0
