cod;nome;período;valor;populacao
29.0;BA;2006;3311.0;13950146.0
29.0;BA;2007;3659.0;14080670.0
29.0;BA;2008;4819.0;14502575.0
29.0;BA;2009;5432.0;14637364.0
29.0;BA;2010;5844.0;14016906.0
29.0;BA;2011;5549.0;14097534.0
29.0;BA;2012;6148.0;14175341.0
29.0;BA;2013;5694.0;15044137.0
29.0;BA;2014;6052.0;15126371.0
29.0;BA;2015;6012.0;15203334.0
29.0;BA;2016;7171.0;15276566.0
29.0;BA;2017;7487.0;15344447.0
29.0;BA;2018;6787.0;14812617.0
29.0;BA;2019;6118.0;14873064.0
29.0;BA;2020;7076.0;14930634.0
29.0;BA;2021;7206.0;14985284.0
29.0;BA;2022;6776.0;14141626.0
29.0;BA;2023;6615.0;14141626.0
;BA;2024;;14850513.0
;BA;2025;;14870907.0
23.0;CE;1989;607.0;
23.0;CE;1990;555.0;
23.0;CE;1991;607.0;6366132.0
23.0;CE;1992;537.0;6433713.0
23.0;CE;1993;702.0;6549847.0
23.0;CE;1994;636.0;6633080.0
23.0;CE;1995;845.0;6714246.0
23.0;CE;1996;885.0;6809290.0
23.0;CE;1997;1026.0;6920292.0
23.0;CE;1998;946.0;7013376.0
23.0;CE;1999;1104.0;7106605.0
23.0;CE;2000;1238.0;7431597.0
23.0;CE;2001;1284.0;7547620.0
23.0;CE;2002;1445.0;7654535.0
23.0;CE;2003;1563.0;7758441.0
23.0;CE;2004;1582.0;7976563.0
23.0;CE;2005;1699.0;8097276.0
23.0;CE;2006;1792.0;8217085.0
23.0;CE;2007;1933.0;8185250.0
23.0;CE;2008;2019.0;8450527.0
23.0;CE;2009;2165.0;8547809.0
23.0;CE;2010;2688.0;8452381.0
23.0;CE;2011;2792.0;8530155.0
23.0;CE;2012;3841.0;8606005.0
23.0;CE;2013;4473.0;8778576.0
23.0;CE;2014;4626.0;8842791.0
23.0;CE;2015;4163.0;8904459.0
23.0;CE;2016;3642.0;8963663.0
23.0;CE;2017;5433.0;9020460.0
23.0;CE;2018;4900.0;9075649.0
23.0;CE;2019;2417.0;9132078.0
23.0;CE;2020;3992.0;9187103.0
23.0;CE;2021;3471.0;9240580.0
23.0;CE;2022;3030.0;8794957.0
23.0;CE;2023;2992.0;8794957.0
;CE;2024;;9233656.0
;CE;2025;;9268836.0
53.0;DF;1989;331.0;
53.0;DF;1990;463.0;
53.0;DF;1991;489.0;1601093.0
53.0;DF;1992;424.0;1639035.0
53.0;DF;1993;553.0;1673151.0
53.0;DF;1994;556.0;1705889.0
53.0;DF;1995;629.0;1737813.0
53.0;DF;1996;615.0;1821946.0
53.0;DF;1997;613.0;1877015.0
53.0;DF;1998;633.0;1923406.0
53.0;DF;1999;659.0;1969868.0
53.0;DF;2000;687.0;2051146.0
53.0;DF;2001;693.0;2097447.0
53.0;DF;2002;641.0;2145839.0
53.0;DF;2003;742.0;2189789.0
53.0;DF;2004;696.0;2282049.0
53.0;DF;2005;657.0;2333108.0
53.0;DF;2006;660.0;2383784.0
53.0;DF;2007;711.0;2455903.0
53.0;DF;2008;812.0;2557158.0
53.0;DF;2009;882.0;2606885.0
53.0;DF;2010;786.0;2570160.0
53.0;DF;2011;902.0;2609998.0
53.0;DF;2012;954.0;2648532.0
53.0;DF;2013;837.0;2789761.0
53.0;DF;2014;843.0;2852372.0
53.0;DF;2015;742.0;2914830.0
53.0;DF;2016;760.0;2977216.0
53.0;DF;2017;610.0;3039444.0
53.0;DF;2018;530.0;2974703.0
53.0;DF;2019;480.0;3015268.0
53.0;DF;2020;453.0;3055149.0
53.0;DF;2021;401.0;3094325.0
53.0;DF;2022;357.0;2817381.0
53.0;DF;2023;348.0;2817381.0
;DF;2024;;2982818.0
;DF;2025;;2996899.0
32.0;ES;1989;845.0;
32.0;ES;1990;881.0;
32.0;ES;1991;968.0;2600619.0
32.0;ES;1992;839.0;2649747.0
32.0;ES;1993;1098.0;2698687.0
32.0;ES;1994;1166.0;2743243.0
32.0;ES;1995;1154.0;2786692.0
32.0;ES;1996;1191.0;2802707.0
