cod;nome;período;ValorHomens;ValorHomensNegros;ValorHomensNaoNegros
16;AP;1999;175;163.0;10.0
16;AP;2000;152;124.0;12.0
16;AP;2001;170;155.0;13.0
16;AP;2002;169;149.0;14.0
16;AP;2003;170;159.0;9.0
16;AP;2004;157;146.0;9.0
16;AP;2005;181;159.0;20.0
16;AP;2006;189;176.0;11.0
16;AP;2007;160;132.0;17.0
16;AP;2008;196;183.0;6.0
16;AP;2009;178;158.0;9.0
16;AP;2010;244;191.0;26.0
16;AP;2011;190;163.0;24.0
16;AP;2012;236;200.0;19.0
16;AP;2013;206;162.0;25.0
16;AP;2014;236;213.0;14.0
16;AP;2015;275;251.0;12.0
16;AP;2016;364;347.0;11.0
16;AP;2017;356;328.0;22.0
16;AP;2018;411;377.0;24.0
16;AP;2019;342;330.0;8.0
16;AP;2020;365;345.0;17.0
16;AP;2021;443;428.0;10.0
16;AP;2022;342;328.0;9.0
16;AP;2023;501;493.0;5.0
17;TO;1989;49;;
17;TO;1990;47;;
17;TO;1991;83;;
17;TO;1992;60;;
17;TO;1993;81;;
17;TO;1994;95;;
17;TO;1995;72;;
17;TO;1996;105;0.0;0.0
17;TO;1997;93;29.0;21.0
17;TO;1998;110;53.0;33.0
17;TO;1999;121;60.0;43.0
17;TO;2000;160;103.0;52.0
17;TO;2001;189;126.0;60.0
17;TO;2002;150;110.0;39.0
17;TO;2003;182;144.0;37.0
17;TO;2004;180;135.0;45.0
17;TO;2005;169;133.0;35.0
17;TO;2006;207;171.0;34.0
17;TO;2007;196;164.0;29.0
17;TO;2008;216;177.0;37.0
17;TO;2009;258;208.0;47.0
17;TO;2010;293;250.0;38.0
17;TO;2011;311;252.0;51.0
17;TO;2012;330;266.0;50.0
17;TO;2013;307;235.0;60.0
17;TO;2014;342;267.0;64.0
17;TO;2015;454;342.0;92.0
17;TO;2016;532;426.0;87.0
17;TO;2017;517;407.0;96.0
17;TO;2018;520;430.0;81.0
17;TO;2019;420;337.0;73.0
17;TO;2020;448;370.0;70.0
17;TO;2021;401;333.0;57.0
17;TO;2022;424;351.0;63.0
17;TO;2023;389;334.0;52.0
21;MA;1989;382;;
21;MA;1990;410;;
21;MA;1991;416;;
21;MA;1992;395;;
21;MA;1993;359;;
21;MA;1994;289;;
21;MA;1995;344;;
21;MA;1996;330;0.0;0.0
21;MA;1997;285;170.0;33.0
21;MA;1998;247;177.0;29.0
21;MA;1999;233;135.0;37.0
21;MA;2000;320;230.0;56.0
21;MA;2001;509;403.0;81.0
21;MA;2002;567;462.0;90.0
21;MA;2003;726;599.0;109.0
21;MA;2004;679;587.0;79.0
21;MA;2005;877;725.0;130.0
21;MA;2006;902;753.0;135.0
21;MA;2007;1063;911.0;144.0
21;MA;2008;1196;1030.0;144.0
21;MA;2009;1311;1143.0;142.0
21;MA;2010;1402;1242.0;133.0
21;MA;2011;1460;1255.0;184.0
21;MA;2012;1662;1459.0;172.0
21;MA;2013;2031;1788.0;184.0
21;MA;2014;2307;2048.0;215.0
21;MA;2015;2286;2003.0;240.0
21;MA;2016;2247;1963.0;247.0
21;MA;2017;2051;1855.0;169.0
21;MA;2018;1856;1656.0;170.0
21;MA;2019;1584;1402.0;165.0
21;MA;2020;1961;1736.0;201.0
21;MA;2021;1868;1644.0;197.0
21;MA;2022;1808;1625.0;170.0
21;MA;2023;1862;1635.0;205.0
22;PI;1989;125;;
22;PI;1990;104;;
22;PI;1991;92;;
22;PI;1992;82;;
22;PI;1993;104;;
22;PI;1994;89;;
22;PI;1995;95;;
22;PI;1996;102;0.0;0.0
22;PI;1997;129;76.0;13.0
22;PI;1998;119;78.0;15.0
22;PI;1999;126;85.0;18.0
22;PI;2000;214;138.0;33.0
22;PI;2001;226;155.0;34.0
22;PI;2002;279;214.0;37.0
22;PI;2003;265;217.0;27.0
22;PI;2004;301;237.0;40.0
22;PI;2005;328;266.0;43.0
22;PI;2006;386;329.0;47.0
22;PI;2007;346;285.0;50.0
22;PI;2008;323;268.0;46.0
22;PI;2009;354;296.0;49.0
22;PI;2010;371;299.0;45.0
22;PI;2011;408;327.0;51.0
22;PI;2012;479;413.0;45.0
22;PI;2013;549;451.0;58.0
22;PI;2014;654;538.0;40.0
22;PI;2015;582;487.0;52.0
22;PI;2016;650;563.0;45.0
22;PI;2017;573;509.0;46.0
22;PI;2018;565;488.0;41.0
22;PI;2019;520;454.0;43.0
22;PI;2020;615;521.0;66.0
22;PI;2021;695;611.0;66.0
22;PI;2022;723;631.0;78.0
22;PI;2023;655;596.0;49.0
23;CE;1989;560;;
23;CE;1990;510;;
23;CE;1991;554;;
23;CE;1992;493;;
23;CE;1993;640;;
23;CE;1994;573;;
23;CE;1995;790;;
23;CE;1996;793;0.0;0.0
23;CE;1997;941;278.0;55.0
23;CE;1998;889;305.0;97.0
23;CE;1999;1012;518.0;145.0
23;CE;2000;1131;656.0;182.0
23;CE;2001;1170;638.0;164.0
23;CE;2002;1320;657.0;126.0
23;CE;2003;1460;708.0;149.0
23;CE;2004;1459;655.0;125.0
23;CE;2005;1555;715.0;138.0
23;CE;2006;1658;907.0;148.0
23;CE;2007;1806;1283.0;185.0
23;CE;2008;1902;1303.0;176.0
23;CE;2009;2025;1280.0;166.0
23;CE;2010;2515;1600.0;272.0
23;CE;2011;2603;1541.0;251.0
23;CE;2012;3621;1811.0;223.0
23;CE;2013;4195;2088.0;232.0
23;CE;2014;4341;2362.0;251.0
23;CE;2015;3909;2118.0;210.0
23;CE;2016;3424;2363.0;195.0
23;CE;2017;5059;4580.0;291.0
23;CE;2018;4425;4051.0;341.0
23;CE;2019;2196;2036.0;149.0
23;CE;2020;3672;3457.0;201.0
23;CE;2021;3135;2906.0;215.0
23;CE;2022;2755;2536.0;209.0
23;CE;2023;2744;2493.0;238.0
24;RN;1989;222;;
24;RN;1990;180;;
24;RN;1991;202;;
24;RN;1992;184;;
24;RN;1993;222;;
24;RN;1994;191;;
24;RN;1995;217;;
24;RN;1996;206;0.0;0.0
24;RN;1997;208;118.0;54.0
24;RN;1998;202;119.0;37.0
24;RN;1999;200;122.0;50.0
24;RN;2000;235;161.0;50.0
24;RN;2001;297;204.0;58.0
24;RN;2002;276;201.0;58.0
24;RN;2003;373;261.0;81.0
24;RN;2004;323;233.0;61.0
24;RN;2005;364;248.0;65.0
24;RN;2006;413;291.0;71.0
24;RN;2007;547;399.0;84.0
24;RN;2008;655;510.0;93.0
24;RN;2009;743;574.0;115.0
24;RN;2010;739;582.0;98.0
24;RN;2011;978;757.0;140.0
24;RN;2012;1060;819.0;175.0
24;RN;2013;1357;1064.0;178.0
24;RN;2014;1500;1233.0;194.0
24;RN;2015;1453;1207.0;147.0
24;RN;2016;1754;1479.0;185.0
24;RN;2017;2054;1798.0;178.0
24;RN;2018;1723;1509.0;193.0
24;RN;2019;1248;1110.0;116.0
24;RN;2020;1324;1169.0;110.0
24;RN;2021;1109;996.0;96.0
24;RN;2022;1092;972.0;108.0
24;RN;2023;892;804.0;70.0
25;PB;1989;409;;
25;PB;1990;399;;
25;PB;1991;361;;
25;PB;1992;319;;
25;PB;1993;337;;
25;PB;1994;354;;
25;PB;1995;391;;
25;PB;1996;530;0.0;0.0
25;PB;1997;449;67.0;26.0
25;PB;1998;414;82.0;25.0
25;PB;1999;369;111.0;34.0
25;PB;2000;463;351.0;52.0
25;PB;2001;439;298.0;47.0
25;PB;2002;551;405.0;44.0
25;PB;2003;579;458.0;44.0
25;PB;2004;611;493.0;40.0
25;PB;2005;683;563.0;43.0
25;PB;2006;762;648.0;38.0
25;PB;2007;793;704.0;32.0
25;PB;2008;942;852.0;42.0
25;PB;2009;1164;1069.0;41.0
25;PB;2010;1336;1227.0;48.0
25;PB;2011;1474;1324.0;65.0
25;PB;2012;1388;1176.0;81.0
25;PB;2013;1424;1187.0;86.0
25;PB;2014;1433;1244.0;72.0
25;PB;2015;1406;1222.0;76.0
25;PB;2016;1248;1099.0;68.0
25;PB;2017;1253;1151.0;85.0
25;PB;2018;1161;1085.0;55.0
25;PB;2019;880;800.0;45.0
25;PB;2020;1047;929.0;67.0
25;PB;2021;1061;927.0;76.0
25;PB;2022;1021;841.0;123.0
25;PB;2023;998;847.0;87.0
26;PE;1989;2379;;
26;PE;1990;2522;;
26;PE;1991;2706;;
26;PE;1992;2352;;
26;PE;1993;2543;;
26;PE;1994;2399;;
26;PE;1995;2498;;
26;PE;1996;2773;0.0;1.0
26;PE;1997;3463;586.0;313.0
26;PE;1998;4141;1106.0;485.0
